Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,District
114,SULLIVAN,,VICTORIA,MARK,12,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
115,PHILLIPS,,RILEY,WENDELL,18,,,REDWOOD DR,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
116,COLLINS,,MASON,ADAM,51,,,LAKESIDE DRIVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
117,TORRES,,HARRISON,HARRISON,24,,,PARK LANE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
118,TURNER,,ELISE,LUNA,14,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
119,SCOTT,,WENDELL,SANDRA,6,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
120,WRIGHT,,ETHAN,LUCY,23,,,WILLOW ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
121,BAILEY,,LOGAN,OLIVER,21,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
122,YOUNG,,MIA,TOMMY,51,,,BIRCH ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
123,LEWIS,,CHRISSY,CHRISSY,5,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
124,SCOTT,,NATALIE,LIAM,7,,,SUNRISE BLVD,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,0
125,BENNETT,,JORDAN,JACK,32,,,WILLOW ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
126,GONZALEZ,,JANE,LEAH,30,,,PINE ST,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
127,JACKSON,,TAYLOR,ANDREW,24,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
128,JOHNSON,,PARVATI,CHARLOTTE,43,,,CHERRY LANE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
129,BENNETT,,LUCY,CHARLOTTE,29,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
130,LONG,,ABIGAIL,MICHELE,18,,,REDWOOD DR,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
131,MILLER,,EVELYN,STELLA,15,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
132,RAMIREZ,,KIM,KRISTIN,35,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
133,ROBERTS,,MEGAN,ASHLEY,50,,,FOREST DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
134,LOPEZ,,LAUREL,ADAM,16,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
135,JENKINS,,JORDAN,KRISTEN,24,,,RIDGE ROAD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
136,ROBINSON,,JORDAN,AURORA,17,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
137,SMITH,,LAURA,LOGAN,17,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
138,RAMIREZ,,ASHLEY,ANDREW,25,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
139,MARTIN,,CHASE,TAYLOR,35,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
140,RIVERA,,HERMIONE,VICTORIA,45,,,STONEWALL RD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
141,LEE,,GABRIEL,JACK,32,,,SPRUCE ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
142,TORRES,,CALEB,SOPHIE,47,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
143,JENKINS,,CHRIS,MIA,38,,,BIRCH ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
144,NELSON,,OLIVER,OLIVER,14,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
145,NGUYEN,,STELLA,AVERY,12,,,PINECONE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
146,COOK,,ZACHARY,ADAM,18,,,CHERRY LANE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
147,YOUNG,,CIRIE,CONNOR,37,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
148,WALKER,,JAMES,NICK,27,,,EVERGREEN TERRACE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
149,LEE,,JULIAN,NOAH,40,,,FOREST DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
150,SULLIVAN,,CALEB,CHASE,30,,,SPRUCE ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
151,THOMPSON,,JEREMEY,MICHAEL,17,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
152,NELSON,,JULIAN,DENISE,46,,,WATERFRONT DR,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
153,GRAY,,SOPHIA,ANDREW,26,,,CRYSTAL WAY,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
154,COOPER,,SARAH,ELLA,26,,,SUNSET BLVD,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
155,YOUNG,,NICK,JESSICA,33,,,CENTER AVE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
156,COLLINS,,CHRIS,LAURA,10,,,RIVER ROAD,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
157,MILLER,,ROBERT,SOPHIA,16,,,PINECONE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
158,WILSON,,ASHLEY,NATALIE,32,,,CEDAR ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
159,RICE,,NOAH,CALEB,8,,,CHERRY LANE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
160,TORRES,,SARAH,MATTHEW,33,,,CENTER AVE,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,0
161,BAILEY,,SOPHIA,EVELYN,18,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
162,SCOTT,,SARAH,AIDEN,43,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
163,KING,,LAUREL,HARRISON,17,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
164,BROWN,,OWEN,MICHELE,31,,,OAK ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
165,BENNETT,,AVERY,SANDRA,24,,,RIVER ROAD,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
166,NELSON,,EMILY,JAMES,16,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
167,PEREZ,,CHARLOTTE,HENRY,35,,,OAK ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
168,MARTIN,,AVERY,SAMUEL,18,,,REDWOOD DR,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
169,LOPEZ,,LAURA,WENDELL,14,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
170,PHILLIPS,,LUCY,SCARLETT,25,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
171,WHITE,,TOMMY,AMANDA,47,,,OAK ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
172,PERRY,,GABRIEL,SOPHIE,44,,,FOREST DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
173,LONG,,KRISTEN,LOGAN,19,,,GARDEN PATH,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
174,DAVIS,,CHASE,SARAH,14,,,MEADOW LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
175,MARTINEZ,,GABRIEL,AMANDA,42,,,PINE ST,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,0
176,HALL,,AVERY,OLIVER,20,,,PINECONE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
177,COLLINS,,SOPHIA,EMILY,53,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
178,KING,,JEREMEY,ISAAC,17,,,BAYSHORE BLVD,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,0
179,SANCHEZ,,CAROLINE,AMELIA,10,,,WILLOW ST,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
180,COLLINS,,TOMMY,AVERY,49,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
181,RAMIREZ,,NICK,JACK,12,,,BIRCH ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
182,WILSON,,CHRISSY,SARAH,18,,,REDWOOD DR,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,0
183,BENNETT,,KRISTIN,HARPER,3,,,CRESCENT ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
184,ORTIZ,,ZACHARY,MARK,31,,,OAK ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
185,WOOD,,OWEN,ELIJAH,9,,,RIVER ROAD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
186,CLARK,,ANDREW,HANNAH,37,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
187,COOPER,,TOMMY,ELIJAH,33,,,HERITAGE LN,,,,SALEM,NH,03079,,,,,,,,,,,,,UND,0
188,PETERSON,,HANNAH,VICTORIA,28,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,0
189,LEE,,DAVID,LAUREL,33,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
190,TURNER,,DENISE,AMELIA,21,,,MAPLE AVE,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,0
191,CAMPBELL,,JONAH,HARRISON,25,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
192,CAMPBELL,,CHLOE,JORDAN,39,,,CEDAR ST,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
193,NGUYEN,,HANNAH,MEGAN,20,,,HIGH ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,0
194,LOPEZ,,JORDAN,MADISON,55,,,RIDGE ROAD,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
195,GONZALEZ,,ANDREW,KRISTEN,20,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
196,TORRES,,CONNOR,AMELIA,17,,,SIERRA RD,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
197,EVANS,,ROBERT,SCARLETT,41,,,PARK LANE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,0
198,RUSSELL,,ELISE,ELLA,20,,,RIDGE ROAD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,0
199,WOOD,,MEGAN,ASHLEY,4,,,ELM ST,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
200,GREEN,,ISAAC,LUCY,42,,,WATERFRONT DR,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
201,BAILEY,,ISABELLA,LEAH,23,,,HIGH ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,0
202,MILLER,,ELISE,DAVID,25,,,LAKESIDE DRIVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,0
203,LEE,,ANDREW,KRISTEN,51,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,0
204,JENKINS,,TAYLOR,JONAH,9,,,MAIN ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,0
