Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,Ward
122,PERRY,,AMANDA,EVELYN,21,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
123,LONG,,CHRIS,PARVATI,50,,,CRESCENT ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,4
124,COOPER,,JOHN,HERMIONE,18,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
125,PEREZ,,SANDRA,KRISTIN,6,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
126,REED,,HENRY,LEAH,36,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
127,FLORES,,WENDELL,SAMUEL,37,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,3
128,CLARK,,LIAM,MIA,25,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
129,ALLEN,,JACK,JACK,42,,,MAGNOLIA BLVD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,5
130,TAYLOR,,HARPER,AIDEN,29,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
131,CLARK,,ZACHARY,ELLA,16,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
132,GREEN,,TAYLOR,ISABELLA,18,,,RIDGE ROAD,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,1
133,ANDERSON,,LOGAN,CHRISSY,28,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
134,ROBERTS,,RILEY,HANNAH,24,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
135,MOORE,,JANE,VICTORIA,4,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
136,JOHNSON,,JONAH,WENDELL,41,,,SUNRISE BLVD,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
137,MITCHELL,,HENRY,JEREMEY,5,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
138,BAILEY,,CALEB,ELLA,33,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
139,BAILEY,,KRISTEN,JESSICA,30,,,CRYSTAL WAY,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,4
140,WALKER,,MICHELE,CHASE,40,,,PINECONE LN,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,1
141,LEE,,GRACE,AUBRY,50,,,CRESCENT ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,4
142,MARTIN,,TAYLOR,HARRISON,35,,,MAPLE AVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
143,SCOTT,,CONNOR,SCARLETT,17,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
144,MILLER,,ZACHARY,SAMUEL,13,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
145,LONG,,JANE,EVELYN,7,,,CEDAR ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
146,JACKSON,,RILEY,ELLA,23,,,SIERRA RD,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
147,WRIGHT,,SCARLETT,CHLOE,5,,,CEDAR ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
148,NELSON,,CHRIS,HENRY,20,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
149,THOMPSON,,TOMMY,ELLA,19,,,SPRUCE ST,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
150,COOK,,MADISON,ANDREW,23,,,CHERRY LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
151,ALLEN,,HELENA,KIM,23,,,MEADOW LANE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,5
152,PHILLIPS,,JANE,AMELIA,30,,,STONEWALL RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
153,JACKSON,,AIDEN,CHARLOTTE,32,,,MAIN ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,2
154,GONZALEZ,,OWEN,JORDAN,15,,,SPRUCE ST,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
155,COLLINS,,TAYLOR,JEREMEY,17,,,HILLCREST DRIVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,5
156,COLLINS,,CHRIS,KRISTEN,13,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
157,CAMPBELL,,SOPHIA,SCARLETT,33,,,FOREST DRIVE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
158,LEWIS,,ELIJAH,LIAM,17,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
159,JONES,,OWEN,JESSICA,28,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
160,GARCIA,,CONNOR,SOPHIA,16,,,GRANITE ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,2
161,PETERSON,,MEGAN,CAROLINE,19,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,3
162,REED,,LOGAN,MICHELE,15,,,CEDAR ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
163,GREEN,,TONY,JAMES,19,,,CEDAR ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
164,CAMPBELL,,OLIVER,LIAM,22,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
165,WILLIAMS,,CHLOE,JULIAN,18,,,WALNUT ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,2
166,CAMPBELL,,ASHLEY,CHRIS,24,,,SIERRA RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,1
167,GRAY,,DENISE,EMILY,19,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,3
168,TORRES,,ANDREW,MADISON,19,,,MEADOW LANE,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,5
169,ADAMS,,GABRIEL,ISABELLA,17,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
170,WALKER,,MARK,ASHLEY,40,,,GARDEN PATH,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
171,WRIGHT,,HARRISON,LAURA,10,,,LAKESIDE DRIVE,,,,ENFIELD,NH,03441,,,,,,,,,,,,,UND,3
172,BAILEY,,ISABELLA,OLIVER,24,,,STONEWALL RD,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
173,ROBINSON,,WENDELL,CHRIS,26,,,RIVER ROAD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
174,LONG,,OLIVER,HANNAH,20,,,ELMWOOD AVE,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,5
175,HALL,,ISAAC,MARK,11,,,BIRCH ST,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,1
176,GARCIA,,NOAH,JACK,15,,,SYCAMORE AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
177,COOK,,EVELYN,CIRIE,16,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
178,HARRIS,,LAUREL,SOPHIA,4,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
179,BROOKS,,KRISTEN,ROBERT,18,,,GRANITE ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,2
180,TORRES,,HARPER,LIAM,21,,,CEDAR ST,,,,KEENE,NH,03431,,,,,,,,,,,,,UND,1
181,PHILLIPS,,CHARLOTTE,SCARLETT,18,,,GRANITE ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,2
182,SMITH,,JULIAN,RILEY,38,,,HILLCREST DRIVE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
183,SULLIVAN,,AMELIA,JACK,24,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
184,CARTER,,LUCY,JORDAN,44,,,SUNRISE BLVD,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,2
185,KING,,JACK,CHASE,53,,,VICTORY AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,3
186,WHITE,,OLIVER,CHARLOTTE,7,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
187,PEREZ,,ANDREW,ISAAC,17,,,PINE ST,,,,HOOKSETT,NH,03106,,,,,,,,,,,,,UND,3
188,KING,,CHRIS,OLIVER,11,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
189,HERNANDEZ,,MADISON,LAURA,21,,,HILLCREST DRIVE,,,,PORTSMOUTH,NH,03801,,,,,,,,,,,,,UND,5
190,ADAMS,,JONAH,TOMMY,28,,,PINE ST,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,3
191,COOK,,MICHELE,CHASE,18,,,SUNSET BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
192,SULLIVAN,,AUBRY,OLIVER,7,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
193,LEWIS,,LAURA,JANE,3,,,SYCAMORE AVE,,,,LACONIA,NH,03246,,,,,,,,,,,,,UND,2
194,BAILEY,,JESSICA,CHASE,21,,,MAIN ST,,,,NASHUA,NH,03060,,,,,,,,,,,,,UND,2
195,HALL,,AIDEN,CHLOE,31,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
196,THOMAS,,CONNOR,EMILY,4,,,CENTER AVE,,,,CLAREMONT,NH,03743,,,,,,,,,,,,,UND,5
197,COOPER,,ELISE,SOPHIE,9,,,REDWOOD DR,,,,BERLIN,NH,03570,,,,,,,,,,,,,UND,3
198,LEE,,ROBERT,HARRISON,18,,,RIVER ROAD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,4
199,MILLER,,JESSICA,TOMMY,48,,,BAYVIEW BLVD,,,,DOVER,NH,03820,,,,,,,,,,,,,UND,3
200,PEREZ,,ELIJAH,MIA,16,,,ELM ST,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,4
201,MILLER,,HARRISON,OLIVER,13,,,CHERRY LANE,,,,LEBANON,NH,03766,,,,,,,,,,,,,UND,5
202,BELL,,HANNAH,DOMENICK,21,,,WILLOW ST,,,,MANCHESTER,NH,03101,,,,,,,,,,,,,UND,1
203,HILL,,JULIAN,HERMIONE,20,,,PINE ST,,,,HUDSON,NH,03051,,,,,,,,,,,,,UND,3
204,BAILEY,,LAUREL,GABRIEL,18,,,VICTORY AVE,,,,EPPING,NH,03042,,,,,,,,,,,,,UND,3
205,SCOTT,,LUCY,WENDELL,42,,,EVERGREEN TERRACE,,,,CONCORD,NH,03301,,,,,,,,,,,,,UND,4
